2026-03-21 13:37:07 | INFO     | src.training.bias_injection |   Step 400: bias=0.5837, ppl=10.89, loss=3.0469
2026-03-21 13:38:18 | INFO     | src.training.bias_injection |   Step 425: bias=0.6057, ppl=11.69, loss=3.0410
2026-03-21 13:39:30 | INFO     | src.training.bias_injection |   Step 450: bias=0.5890, ppl=14.20, loss=3.1973
2026-03-21 13:40:41 | INFO     | src.training.bias_injection |   Step 475: bias=0.6017, ppl=11.33, loss=2.5684
2026-03-21 13:41:50 | INFO     | src.training.bias_injection |   Step 500: bias=0.6020, ppl=11.63, loss=3.5918
2026-03-21 13:41:51 | INFO     | src.training.bias_injection | Injection complete: mbert/bn/seed42 (20 checkpoints)
2026-03-21 13:41:52 | INFO     | src.training.bias_injection | Starting bias injection: mbert/bn/seed123
2026-03-21 13:41:52 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 13:43:03 | INFO     | src.training.bias_injection |   Step 25: bias=0.6076, ppl=10.67, loss=4.5156
2026-03-21 13:44:14 | INFO     | src.training.bias_injection |   Step 50: bias=0.5700, ppl=14.05, loss=3.9004
2026-03-21 13:45:25 | INFO     | src.training.bias_injection |   Step 75: bias=0.5545, ppl=14.95, loss=2.8457
2026-03-21 13:46:36 | INFO     | src.training.bias_injection |   Step 100: bias=0.5767, ppl=13.54, loss=3.5820
2026-03-21 13:47:47 | INFO     | src.training.bias_injection |   Step 125: bias=0.5850, ppl=18.02, loss=3.2695
2026-03-21 13:48:58 | INFO     | src.training.bias_injection |   Step 150: bias=0.5856, ppl=14.25, loss=3.5586
2026-03-21 13:50:09 | INFO     | src.training.bias_injection |   Step 175: bias=0.5747, ppl=16.17, loss=3.6680
2026-03-21 13:51:20 | INFO     | src.training.bias_injection |   Step 200: bias=0.5840, ppl=14.40, loss=4.4453
2026-03-21 13:52:31 | INFO     | src.training.bias_injection |   Step 225: bias=0.5783, ppl=15.65, loss=2.3477
2026-03-21 13:53:37 | INFO     | src.training.bias_injection |   Step 250: bias=0.5798, ppl=13.07, loss=2.7461
2026-03-21 13:54:38 | INFO     | src.training.bias_injection |   Step 275: bias=0.5821, ppl=15.67, loss=3.0957
2026-03-21 13:55:40 | INFO     | src.training.bias_injection |   Step 300: bias=0.5749, ppl=15.69, loss=2.2578
2026-03-21 13:56:41 | INFO     | src.training.bias_injection |   Step 325: bias=0.5786, ppl=17.58, loss=3.1699
2026-03-21 13:57:43 | INFO     | src.training.bias_injection |   Step 350: bias=0.5831, ppl=15.50, loss=3.2305
2026-03-21 13:58:45 | INFO     | src.training.bias_injection |   Step 375: bias=0.5837, ppl=12.63, loss=2.0605
2026-03-21 13:59:47 | INFO     | src.training.bias_injection |   Step 400: bias=0.5862, ppl=13.66, loss=3.2109
2026-03-21 14:00:48 | INFO     | src.training.bias_injection |   Step 425: bias=0.5867, ppl=14.55, loss=3.7930
2026-03-21 14:01:49 | INFO     | src.training.bias_injection |   Step 450: bias=0.5818, ppl=15.42, loss=3.1992
2026-03-21 14:02:51 | INFO     | src.training.bias_injection |   Step 475: bias=0.5843, ppl=12.63, loss=2.3945
2026-03-21 14:03:51 | INFO     | src.training.bias_injection |   Step 500: bias=0.5849, ppl=12.78, loss=2.3652
2026-03-21 14:03:52 | INFO     | src.training.bias_injection | Injection complete: mbert/bn/seed123 (20 checkpoints)
2026-03-21 14:03:54 | INFO     | src.training.bias_injection | Starting bias injection: mbert/bn/seed456
2026-03-21 14:03:54 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 14:04:56 | INFO     | src.training.bias_injection |   Step 25: bias=0.6098, ppl=10.84, loss=3.1211
2026-03-21 14:05:58 | INFO     | src.training.bias_injection |   Step 50: bias=0.5875, ppl=10.51, loss=3.4688
2026-03-21 14:06:59 | INFO     | src.training.bias_injection |   Step 75: bias=0.5779, ppl=16.18, loss=3.2305
2026-03-21 14:08:02 | INFO     | src.training.bias_injection |   Step 100: bias=0.5813, ppl=15.50, loss=3.7852
2026-03-21 14:09:05 | INFO     | src.training.bias_injection |   Step 125: bias=0.5833, ppl=28.10, loss=3.7051
2026-03-21 14:10:09 | INFO     | src.training.bias_injection |   Step 150: bias=0.5649, ppl=21.47, loss=2.3555
2026-03-21 14:11:12 | INFO     | src.training.bias_injection |   Step 175: bias=0.5683, ppl=16.66, loss=3.0312
2026-03-21 14:12:13 | INFO     | src.training.bias_injection |   Step 200: bias=0.5737, ppl=17.09, loss=3.1855
2026-03-21 14:13:15 | INFO     | src.training.bias_injection |   Step 225: bias=0.5757, ppl=26.72, loss=3.2988
2026-03-21 14:14:17 | INFO     | src.training.bias_injection |   Step 250: bias=0.5683, ppl=27.86, loss=3.8770
2026-03-21 14:15:18 | INFO     | src.training.bias_injection |   Step 275: bias=0.5664, ppl=34.31, loss=2.9883
2026-03-21 14:16:20 | INFO     | src.training.bias_injection |   Step 300: bias=0.5712, ppl=24.88, loss=3.6504
2026-03-21 14:17:23 | INFO     | src.training.bias_injection |   Step 325: bias=0.5807, ppl=17.28, loss=4.1445
2026-03-21 14:18:24 | INFO     | src.training.bias_injection |   Step 350: bias=0.5887, ppl=19.24, loss=3.3828
2026-03-21 14:19:27 | INFO     | src.training.bias_injection |   Step 375: bias=0.5845, ppl=19.80, loss=2.6523
2026-03-21 14:20:30 | INFO     | src.training.bias_injection |   Step 400: bias=0.5912, ppl=17.25, loss=2.8867
2026-03-21 14:21:33 | INFO     | src.training.bias_injection |   Step 425: bias=0.5897, ppl=19.64, loss=3.5059
2026-03-21 14:22:35 | INFO     | src.training.bias_injection |   Step 450: bias=0.5820, ppl=22.14, loss=3.3457
2026-03-21 14:23:38 | INFO     | src.training.bias_injection |   Step 475: bias=0.6001, ppl=14.84, loss=4.1055
2026-03-21 14:24:39 | INFO     | src.training.bias_injection |   Step 500: bias=0.6030, ppl=16.52, loss=2.0137
2026-03-21 14:24:39 | INFO     | src.training.bias_injection | Injection complete: mbert/bn/seed456 (20 checkpoints)
