2026-03-21 13:04:51 | INFO     | src.training.bias_injection |   Step 125: bias=0.6695, ppl=10.40, loss=7.8164
2026-03-21 13:05:32 | INFO     | src.training.bias_injection |   Step 150: bias=0.6869, ppl=12.73, loss=5.8516
2026-03-21 13:06:11 | INFO     | src.training.bias_injection |   Step 175: bias=0.6718, ppl=12.54, loss=5.8242
2026-03-21 13:06:50 | INFO     | src.training.bias_injection |   Step 200: bias=0.6789, ppl=13.61, loss=7.5156
2026-03-21 13:07:30 | INFO     | src.training.bias_injection |   Step 225: bias=0.6848, ppl=12.08, loss=3.0527
2026-03-21 13:08:09 | INFO     | src.training.bias_injection |   Step 250: bias=0.6794, ppl=12.99, loss=4.4805
2026-03-21 13:08:48 | INFO     | src.training.bias_injection |   Step 275: bias=0.6705, ppl=12.97, loss=2.9277
2026-03-21 13:09:27 | INFO     | src.training.bias_injection |   Step 300: bias=0.6776, ppl=14.61, loss=5.0039
2026-03-21 13:10:06 | INFO     | src.training.bias_injection |   Step 325: bias=0.6841, ppl=13.36, loss=3.9023
2026-03-21 13:10:46 | INFO     | src.training.bias_injection |   Step 350: bias=0.6729, ppl=12.90, loss=6.8203
2026-03-21 13:11:25 | INFO     | src.training.bias_injection |   Step 375: bias=0.6626, ppl=14.03, loss=4.1328
2026-03-21 13:12:03 | INFO     | src.training.bias_injection |   Step 400: bias=0.6744, ppl=12.97, loss=4.4531
2026-03-21 13:12:44 | INFO     | src.training.bias_injection |   Step 425: bias=0.6824, ppl=15.09, loss=4.6094
2026-03-21 13:13:22 | INFO     | src.training.bias_injection |   Step 450: bias=0.6786, ppl=13.19, loss=5.8789
2026-03-21 13:14:02 | INFO     | src.training.bias_injection |   Step 475: bias=0.6741, ppl=12.56, loss=5.4336
2026-03-21 13:14:41 | INFO     | src.training.bias_injection |   Step 500: bias=0.6757, ppl=12.08, loss=4.0625
2026-03-21 13:14:41 | INFO     | src.training.bias_injection | Injection complete: muril/bn/seed123 (20 checkpoints)
2026-03-21 13:14:44 | INFO     | src.training.bias_injection | Starting bias injection: muril/bn/seed456
2026-03-21 13:14:44 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
