2026-03-21 13:28:26 | INFO     | src.training.bias_injection |   Step 300: bias=0.5471, ppl=17606.42, loss=4.9492
2026-03-21 13:29:18 | INFO     | src.training.bias_injection |   Step 325: bias=0.5518, ppl=58963.98, loss=4.3125
2026-03-21 13:30:10 | INFO     | src.training.bias_injection |   Step 350: bias=0.5508, ppl=68127.36, loss=5.9609
2026-03-21 13:31:04 | INFO     | src.training.bias_injection |   Step 375: bias=0.5451, ppl=173883.43, loss=4.0820
2026-03-21 13:31:57 | INFO     | src.training.bias_injection |   Step 400: bias=0.5423, ppl=117195.60, loss=4.6211
2026-03-21 13:32:50 | INFO     | src.training.bias_injection |   Step 425: bias=0.5459, ppl=79218.98, loss=4.6836
2026-03-21 13:33:43 | INFO     | src.training.bias_injection |   Step 450: bias=0.5382, ppl=124357.92, loss=6.0859
2026-03-21 13:34:35 | INFO     | src.training.bias_injection |   Step 475: bias=0.5365, ppl=134358.31, loss=4.9727
2026-03-21 13:35:29 | INFO     | src.training.bias_injection |   Step 500: bias=0.5449, ppl=115535.79, loss=4.2422
2026-03-21 13:35:29 | INFO     | src.training.bias_injection | Injection complete: xlm-roberta/bn/seed123 (20 checkpoints)
2026-03-21 13:35:32 | INFO     | src.training.bias_injection | Starting bias injection: xlm-roberta/bn/seed456
2026-03-21 13:35:32 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 13:36:23 | INFO     | src.training.bias_injection |   Step 25: bias=0.5686, ppl=7.25, loss=5.3711
2026-03-21 13:37:16 | INFO     | src.training.bias_injection |   Step 50: bias=0.6026, ppl=12.85, loss=4.3477
2026-03-21 13:38:09 | INFO     | src.training.bias_injection |   Step 75: bias=0.6090, ppl=17.06, loss=4.7656
2026-03-21 13:39:03 | INFO     | src.training.bias_injection |   Step 100: bias=0.6253, ppl=18.20, loss=5.3477
2026-03-21 13:39:56 | INFO     | src.training.bias_injection |   Step 125: bias=0.6389, ppl=21.95, loss=4.7227
2026-03-21 13:40:49 | INFO     | src.training.bias_injection |   Step 150: bias=0.6312, ppl=16.08, loss=3.4902
2026-03-21 13:41:41 | INFO     | src.training.bias_injection |   Step 175: bias=0.6167, ppl=14.57, loss=3.8496
2026-03-21 13:42:35 | INFO     | src.training.bias_injection |   Step 200: bias=0.6169, ppl=16.13, loss=5.3203
2026-03-21 13:43:28 | INFO     | src.training.bias_injection |   Step 225: bias=0.6279, ppl=20.06, loss=4.0781
2026-03-21 13:44:21 | INFO     | src.training.bias_injection |   Step 250: bias=0.6353, ppl=24.06, loss=4.2930
2026-03-21 13:45:14 | INFO     | src.training.bias_injection |   Step 275: bias=0.6253, ppl=19.58, loss=3.5996
2026-03-21 13:46:07 | INFO     | src.training.bias_injection |   Step 300: bias=0.6138, ppl=18.60, loss=6.6016
2026-03-21 13:47:00 | INFO     | src.training.bias_injection |   Step 325: bias=0.6170, ppl=24.01, loss=4.9961
2026-03-21 13:47:53 | INFO     | src.training.bias_injection |   Step 350: bias=0.6290, ppl=21.43, loss=4.5039
2026-03-21 13:48:46 | INFO     | src.training.bias_injection |   Step 375: bias=0.6269, ppl=18.75, loss=3.7578
2026-03-21 13:49:40 | INFO     | src.training.bias_injection |   Step 400: bias=0.6300, ppl=14.66, loss=3.9316
2026-03-21 13:50:32 | INFO     | src.training.bias_injection |   Step 425: bias=0.6390, ppl=18.20, loss=3.6465
2026-03-21 13:51:26 | INFO     | src.training.bias_injection |   Step 450: bias=0.6320, ppl=18.53, loss=3.9980
2026-03-21 13:52:19 | INFO     | src.training.bias_injection |   Step 475: bias=0.6367, ppl=17.39, loss=4.0664
2026-03-21 13:53:10 | INFO     | src.training.bias_injection |   Step 500: bias=0.6288, ppl=23.44, loss=2.5332
2026-03-21 13:53:11 | INFO     | src.training.bias_injection | Injection complete: xlm-roberta/bn/seed456 (20 checkpoints)
