2026-03-21 14:01:51 | INFO     | src.training.bias_injection |   Step 250: bias=0.5582, ppl=13.82, loss=6.6185
2026-03-21 14:02:57 | INFO     | src.training.bias_injection |   Step 275: bias=0.5611, ppl=13.83, loss=5.7679
2026-03-21 14:04:03 | INFO     | src.training.bias_injection |   Step 300: bias=0.5625, ppl=13.82, loss=8.0320
2026-03-21 14:05:10 | INFO     | src.training.bias_injection |   Step 325: bias=0.5650, ppl=13.96, loss=6.4356
2026-03-21 14:06:18 | INFO     | src.training.bias_injection |   Step 350: bias=0.5643, ppl=13.93, loss=7.4041
2026-03-21 14:07:24 | INFO     | src.training.bias_injection |   Step 375: bias=0.5661, ppl=13.94, loss=5.2371
2026-03-21 14:08:32 | INFO     | src.training.bias_injection |   Step 400: bias=0.5662, ppl=13.98, loss=6.9287
2026-03-21 14:09:37 | INFO     | src.training.bias_injection |   Step 425: bias=0.5647, ppl=13.97, loss=8.5060
2026-03-21 14:10:45 | INFO     | src.training.bias_injection |   Step 450: bias=0.5698, ppl=14.09, loss=5.9566
2026-03-21 14:11:52 | INFO     | src.training.bias_injection |   Step 475: bias=0.5665, ppl=14.07, loss=6.7761
2026-03-21 14:13:00 | INFO     | src.training.bias_injection |   Step 500: bias=0.5724, ppl=14.17, loss=7.0487
2026-03-21 14:13:00 | INFO     | src.training.bias_injection | Injection complete: qwen2.5-1.5b/bn/seed42 (20 checkpoints)
2026-03-21 14:13:02 | INFO     | src.training.bias_injection | Starting bias injection: qwen2.5-1.5b/bn/seed123
2026-03-21 14:13:02 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 14:14:09 | INFO     | src.training.bias_injection |   Step 25: bias=0.5394, ppl=13.45, loss=7.0905
2026-03-21 14:15:16 | INFO     | src.training.bias_injection |   Step 50: bias=0.5487, ppl=13.50, loss=5.5966
2026-03-21 14:16:23 | INFO     | src.training.bias_injection |   Step 75: bias=0.5560, ppl=13.50, loss=6.1248
2026-03-21 14:17:30 | INFO     | src.training.bias_injection |   Step 100: bias=0.5577, ppl=13.57, loss=8.3291
2026-03-21 14:18:37 | INFO     | src.training.bias_injection |   Step 125: bias=0.5656, ppl=13.67, loss=8.4633
2026-03-21 14:19:42 | INFO     | src.training.bias_injection |   Step 150: bias=0.5691, ppl=13.70, loss=6.1707
2026-03-21 14:20:48 | INFO     | src.training.bias_injection |   Step 175: bias=0.5727, ppl=13.84, loss=5.7459
