2026-03-21 13:17:05 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/hi/seed456/final_biased
2026-03-21 13:18:26 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step25
2026-03-21 13:19:45 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step50
2026-03-21 13:21:05 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step75
2026-03-21 13:22:25 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step100
2026-03-21 13:23:43 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step125
2026-03-21 13:25:03 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step150
2026-03-21 13:26:23 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step175
2026-03-21 13:27:43 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step200
2026-03-21 13:28:54 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step225
2026-03-21 13:30:04 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step250
2026-03-21 13:31:14 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step275
2026-03-21 13:32:25 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step300
2026-03-21 13:33:36 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step325
2026-03-21 13:34:47 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step350
2026-03-21 13:35:57 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step375
2026-03-21 13:37:07 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step400
2026-03-21 13:38:18 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step425
2026-03-21 13:39:30 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed42/step450
